Filename,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt
Br_0_00000000.vasp,31.10246568,30.05651961,1.436198147,0.349809064,31.13246774,30.05837455
Br_0_00000101.vasp,35.26231745,27.6396679,6.586370691,0.093757253,35.53989114,28.31170299
Br_0_00001010.vasp,34.73085429,27.31571954,6.462966272,0.188390824,35.02963293,27.97315021
Br_0_00001111.vasp,33.86971365,24.73789799,1.10948495,0.018574713,33.86943809,24.73843066
Br_0_01010000.vasp,35.49323128,28.02346198,7.628133902,0.111282301,35.7204155,28.28634327
Br_0_01010101.vasp,32.98293048,30.83541673,14.01049071,0.367358053,33.80853229,31.30583383
Br_0_01011010.vasp,33.39449185,29.47474167,0.599338028,0.045394251,33.39451935,29.48031403
Br_0_01011111.vasp,35.1283776,27.93394822,7.481512643,0.427282582,35.35286454,28.6520338
Br_0_10100000.vasp,34.95059106,27.73286518,7.533378373,0.094785053,35.16288998,28.0377212
Br_0_10100101.vasp,33.47659315,29.48301779,0.61673063,0.054088902,33.47663207,29.48891627
Br_0_10101010.vasp,32.87350436,30.77403861,13.99481031,0.305752781,33.67864088,31.53603562
Br_0_10101111.vasp,35.32926609,27.92355606,7.305254107,0.376368666,35.5443876,28.70757215
Br_0_11110000.vasp,34.31810594,24.71221548,1.103438077,0.034387835,34.31784743,24.71295984
Br_0_11110101.vasp,34.77103987,28.20594178,7.799688607,0.096204837,35.06187326,28.66128189
Br_0_11111010.vasp,35.44033169,27.98223756,7.375581089,0.116903958,35.66676384,28.42749476
Br_0_11111111.vasp,30.46903976,29.70877108,1.04956663,0.076581719,30.48546591,29.70886122
Br_1_00000000.vasp,35.49030033,32.91142725,14.57796083,12.31712771,38.03043691,34.91307345
Br_1_00000101.vasp,46.47530379,18.49994835,16.23217618,2.632175551,46.24980978,18.93363874
Br_1_00001010.vasp,46.64287793,18.80372486,16.17919118,2.534379385,46.42641495,19.21116479
Br_1_00001111.vasp,44.85782385,15.61307963,14.9844334,0.26513304,44.85712461,15.61129746
Br_1_01010000.vasp,46.66558751,17.95634118,16.57530883,0.367382781,46.50761505,18.90817838
Br_1_01010101.vasp,36.37645025,33.8377871,16.01953294,0.31255739,36.41059111,34.2254108
Br_1_01011010.vasp,42.69703729,21.02544798,15.16616884,0.079364976,42.69709829,21.06640516
Br_1_01011111.vasp,47.33414841,18.44283597,17.67441767,1.579700955,47.13432487,19.01901751
Br_1_10100000.vasp,46.51667168,18.27360687,16.39478461,0.603412755,46.35762625,19.18100607
Br_1_10100101.vasp,42.33507998,20.93450177,14.89925275,0.090695614,42.33516058,20.9512332
Br_1_10101010.vasp,36.33976457,33.64759611,16.53180259,0.564838826,36.45727363,34.05580453
Br_1_10101111.vasp,47.21895837,18.58460386,17.50070447,1.810453387,47.02237772,19.09819653
Br_1_11110000.vasp,44.41061184,15.29412088,15.04647921,0.076454769,44.40983096,15.29144109
Br_1_11110101.vasp,46.56386961,18.8241075,16.7944761,1.171928117,46.30147856,19.60958739
Br_1_11111010.vasp,47.48934818,18.06622733,17.26448587,1.055960956,47.20573818,19.110398
Br_1_11111111.vasp,34.70825448,33.22903004,13.77444537,12.11438977,37.04507927,35.14551077
Cl_0_00000000.vasp,29.31525562,29.02448981,0.802227179,0.356784442,29.32530265,29.0265008
Cl_0_00000101.vasp,37.01136565,25.96124523,7.004454726,0.113668252,37.22904594,26.79283978
Cl_0_00001010.vasp,36.68754281,25.78437424,7.107334996,0.033267827,36.93046491,26.58481891
Cl_0_00001111.vasp,35.53821079,22.57963841,0.927958471,0.087025727,35.53899993,22.57788274
Cl_0_01010000.vasp,36.87636086,26.5077653,8.030996785,0.183969198,37.05331924,26.84781861
Cl_0_01010101.vasp,33.2897409,30.81427058,14.57374771,1.070011117,33.9783335,31.26797615
Cl_0_01011010.vasp,33.59671746,27.8572587,0.801007306,0.225746117,33.59831323,27.85836533
Cl_0_01011111.vasp,36.25255891,25.66582413,7.510575165,0.929025277,36.42302988,26.64700621
Cl_0_10100000.vasp,36.57397039,26.3256627,8.183098466,0.175974629,36.74133517,26.62989512
Cl_0_10100101.vasp,33.55543121,28.05931971,0.663363745,0.098380282,33.5568271,28.06107141
Cl_0_10101010.vasp,32.41894715,30.05261798,14.4718526,0.26629928,33.11167465,30.46065798
Cl_0_10101111.vasp,36.32106271,25.99963355,7.855820083,0.673124725,36.54848632,26.86826906
Cl_0_11110000.vasp,36.08803635,22.5639356,0.975772087,0.097147959,36.09036909,22.56318256
Cl_0_11110101.vasp,36.31356929,26.39191406,8.316076685,0.592042069,36.59043038,26.76082332
Cl_0_11111010.vasp,36.41706132,26.50514622,8.053033597,0.465956696,36.64581507,26.90897617
Cl_0_11111111.vasp,29.52822046,29.22246615,0.441115195,0.117246468,29.52843328,29.2255156
Cl_1_00000000.vasp,35.04192852,32.86942382,13.42103458,11.79625954,37.23875221,34.71238905
Cl_1_00000101.vasp,47.87285244,18.76721904,15.25710385,2.274057899,47.6389347,19.05171865
Cl_1_00001010.vasp,47.71964025,18.51320033,15.28690145,2.175049463,47.47852636,18.81784335
Cl_1_00001111.vasp,46.25589822,16.13348822,14.67681053,0.022293979,46.25587211,16.13954101
Cl_1_01010000.vasp,48.29428246,17.92737081,15.73742889,0.021620026,48.10501039,18.77570718
Cl_1_01010101.vasp,35.76606529,32.91994394,15.47253457,1.134827952,36.09787327,33.20467372
Cl_1_01011010.vasp,43.4763923,21.83488169,14.31089356,0.721615193,43.48130886,21.87952672
Cl_1_01011111.vasp,47.97986102,18.91335166,16.77696681,1.347491468,47.79458431,19.27015174
Cl_1_10100000.vasp,47.80089744,18.33517409,15.63347779,0.086134024,47.63057346,19.00310145
Cl_1_10100101.vasp,43.68623496,22.07294407,14.1146665,0.448631758,43.68812252,22.09488381
Cl_1_10101010.vasp,35.89918374,32.72766409,15.57038533,0.880845201,36.04840605,33.03787852
Cl_1_10101111.vasp,48.00473062,18.66463896,16.78798881,1.363364111,47.79613366,19.10414069
Cl_1_11110000.vasp,45.96115796,16.15856877,14.58281949,0.115193772,45.96123927,16.16538282
Cl_1_11110101.vasp,48.31669915,18.30256467,16.63952188,1.142166118,48.05910342,19.1568313
Cl_1_11111010.vasp,48.26149714,18.48096049,16.63828222,1.188875694,48.00884157,19.3096155
Cl_1_11111111.vasp,34.05572702,33.5667145,12.51817506,11.74954589,36.04036446,35.35102119